138	4620	548d5a21.jpg	Blassreiter		Blassreiter	Serie	done	2008	24	Action, Mecha, Mystery, Psychodrama, Sci-Fi, Splatter	/	0	Anime.Sub/Blassreiter	398
139	7050	548df89e.jpg	Mirai Nikki (2011)	Mirai Nikki	Future Diary	Serie	done	2011	26	Psychotriller, Action, Mystery, Drama	BD	0	Anime.Sub/Mirai Nikki BD	751
140	9388	54a04959.jpg	Akame ga Kill! [wr]	Akame ga Kill: Schwerter der Assassinen	Akame ga Kill!	Serie	licensed	2014	24	Action, Drama, Fantasy, Komödie, Romanze, Splatter	Webrip	0	Anime Webrips/Akame ga Kill!	103
141	8879	54931774.jpg	Mahou Sensou		Magical Warfare	Serie	done	2014	12	Action, Fantasy, Romanze	TV	1	FanSub/Mahou Sensou	2525
142	4597	54936cff.jpg	BlazBlue: Alter Memory		Blazblue: Alter Memory	Serie	done	2013	12	Action, Fantasy	TV	0	Anime.Sub/BlazBlue Alter Memory	369
143	4412	54936d6f.jpg	Blue Drop: Tenshi-tachi no Gikyoku		Blue Drop	Serie	done	2007	13	Drama, Mecha, Romanze, Sci-Fi, Yuri	TV	0	Anime.Sub/Blue Drop Tenshi-tachi no Gikyoku	390
144	412	54936dbb.jpg	Blue Seed 2		Blue Seed Beyond	OVA	done	1996	3	Action, Drama, Horror, Komödie, Romanze, Sci-Fi	DVD	0	Anime.Sub/Blue Seed OVA	368
145	2018	54936e0f.jpg	Blue Seed		Blue Seed	Serie	done	1994	26	Action, Horror, Komödie, Mystery, Romanze, Sci-Fi	TV	0	Anime.Sub/Blue Seed	373
146	7101	54936e7d.jpg	Boku wa Tomodachi ga Sukunai		Haganai: I Don't Have Many Friends	Serie	done	2011	12	Komödie, Ecchi, Harem	TV	0	Anime.Sub/Boku wa Tomodach  ga Sukunai	464
147	7801	54936efb.jpg	Boku wa Tomodachi ga Sukunai Add-on Disc		Haganai: A Round-Robin Story's Ending is Way Extreme	Serie	done	2012	1	Komödie, Ecchi, Harem	DVD	0	Anime.Sub/Boku wa Tomodachi ga Sukunai Add-on Disc	454
148	7200	54936f61.jpg	Boku wa Tomodachi ga Sukunai: Yaminabe wa Bishoujo ga Zannen na Nioi			OVA	done	2011	1	Komödie	DVD	0	Anime.Sub/Boku wa Tomodachi ga Sukunai OVA	393
149	7966	54937006.jpg	Boku wa Tomodachi ga Sukunai Next		Haganai Next	Serie	done	2013	12	Komödie, Ecchi, Harem	TV	0	Anime.Sub/Boku wa Tomodachi ga sukunai Next	397
150	3560	54937071.jpg	Bokura ga Ita		Bokura ga Ita	Serie	done	2006	26	Alltagsleben, Drama, Komödie, Romanze	DVD	0	Anime.Sub/Bokura ga Ita	376
151	3986	549370c1.jpg	Bokura no		Bokurano	Serie	done	2007	24	Action, Mecha, Mystery, Psychodrama, Sci-Fi	Tv Aufzeichung	0	Anime.Sub/Bokurano	384
